id,isEducational;"SISTITUISCI "",0""";"CONCATENA con ""https://www.youtube.com""";collegamento ipertestuale COLLEG.IPERTESTUALE;IsEducational
/watch?v=aircAruvnKk,0;/watch?v=aircAruvnKk;https://www.youtube.com/watch?v=aircAruvnKk;https://www.youtube.com/watch?v=aircAruvnKk;1
/watch?v=_QdPW8JrYzQ,0;/watch?v=_QdPW8JrYzQ;https://www.youtube.com/watch?v=_QdPW8JrYzQ;https://www.youtube.com/watch?v=_QdPW8JrYzQ;
/watch?v=OWJCfOvochA,0;/watch?v=OWJCfOvochA;https://www.youtube.com/watch?v=OWJCfOvochA;https://www.youtube.com/watch?v=OWJCfOvochA;
/watch?v=ZS_kXvOeQ5Y,0;/watch?v=ZS_kXvOeQ5Y;https://www.youtube.com/watch?v=ZS_kXvOeQ5Y;https://www.youtube.com/watch?v=ZS_kXvOeQ5Y;1
/watch?v=x7qPAY9JqE4,0;/watch?v=x7qPAY9JqE4;https://www.youtube.com/watch?v=x7qPAY9JqE4;https://www.youtube.com/watch?v=x7qPAY9JqE4;
/watch?v=9AThycGCakk,0;/watch?v=9AThycGCakk;https://www.youtube.com/watch?v=9AThycGCakk;https://www.youtube.com/watch?v=9AThycGCakk;0
/watch?v=-ruC5A9EzzE,0;/watch?v=-ruC5A9EzzE;https://www.youtube.com/watch?v=-ruC5A9EzzE;https://www.youtube.com/watch?v=-ruC5A9EzzE;1
/watch?v=Lj1a8rdX6DU,0;/watch?v=Lj1a8rdX6DU;https://www.youtube.com/watch?v=Lj1a8rdX6DU;https://www.youtube.com/watch?v=Lj1a8rdX6DU;0
/watch?v=Zh3Yz3PiXZw,0;/watch?v=Zh3Yz3PiXZw;https://www.youtube.com/watch?v=Zh3Yz3PiXZw;https://www.youtube.com/watch?v=Zh3Yz3PiXZw;0
/watch?v=bNpx7gpSqbY,0;/watch?v=bNpx7gpSqbY;https://www.youtube.com/watch?v=bNpx7gpSqbY;https://www.youtube.com/watch?v=bNpx7gpSqbY;
